timestamp,plot,type,chamber,status,chamber_block,counter,conc.cos.1.pmol_mol,conc.co2.1.umol_mol,conc.co2.2.umol_mol,conc.h2o.mmol_mol,conc.co.nmol_mol,conc.cos.2.pmol_mol,conc.cos.mean.pmol_mol,conc.co2.mean.umol_mol,conc.cos.mean_sd.pmol_mol,conc.co2.mean_sd.umol_mol,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa,par.chb_irr1.umol_m2_s1,par.chb_ctr2.umol_m2_s1,par.chs_irr3.umol_m2_s1,par.chs_ctr4.umol_m2_s1,par.chs_irr5.umol_m2_s1,par.chs_ctr6.umol_m2_s1,temp.leaf.chb_irr1.c,temp.air.chb_irr1.c,temp.leaf.chb_ctr2.c,temp.air.chb_ctr2.c,temp.laserbox.c,pump.flow.chb_irr1.slpm,pump.flow.chb_ctr2.slpm,pump.flow.chs_irr3.slpm,pump.flow.chs_ctr4.slpm,pump.flow.chs_irr5.slpm,pump.flow.chs_ctr6.slpm,day_night,par.current.chamber.umol_m2_s1,temp.leaf.current.chamber.c,temp.soil.current.chamber.c,temp.air.current.chamber.c,pump.flow.current.chamber.slpm,surface.area.m2,flag,conc.h2o.calibrated.mmol_mol,conc.co2.calibrated.umol_mol
2022-01-12 00:09:30,irr,soil,chs_irr3,cc,0,-29,,,,,,,,,,,9.613731,0.0,6.643928,413.6289,94.01364,0.0,0.0,,,,,8.5218855,8.405757,8.6101905,8.508098,20.683685,,,7.856751,3.318553,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:31,irr,soil,chs_irr3,cc,0,-28,,,,,,,,,,,9.613243,0.0,6.630285,413.35605,,0.0,0.0,,,,,8.521708183333333,8.405650733333333,8.607796983333333,8.504615266666667,20.683617833333333,,,7.862890500000001,3.328785,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:32,irr,soil,chs_irr3,cc,0,-27,,,,,,,,,,,9.612755,0.0,6.616642,413.0832,94.01364,0.0,0.0,,,,,8.521530866666666,8.405544466666667,8.605403466666667,8.501132533333333,20.68355066666667,,,7.86903,3.339017,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:33,irr,soil,chs_irr3,cc,0,-26,,,,,,,,,,,9.6046665,0.0,6.637105999999999,413.54705,,0.0,0.0,,,,,8.52135355,8.405438199999999,8.60300995,8.4976498,20.6834835,,,7.865619000000001,3.255456,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:34,irr,soil,chs_irr3,cc,0,-25,,,,,,,,,,,9.596578,0.0,6.65757,414.0109,94.01364,0.0,0.0,,,,,8.521176233333334,8.405331933333333,8.600616433333332,8.494167066666666,20.683416333333334,,,7.862208,3.171895,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:35,irr,soil,chs_irr3,cc,0,-24,,,,,,,,,,,9.5832225,0.0,6.6439275,413.71074999999996,,0.0,0.0,,,,,8.520998916666667,8.405225666666666,8.598222916666666,8.490684333333332,20.683349166666666,,,7.862208,3.255456,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:36,irr,soil,chs_irr3,cc,0,-23,,,,,,,,,,,9.569867,0.0,6.630285,413.4106,94.01364,0.0,0.0,,,,,8.5208216,8.4051194,8.5958294,8.487201599999999,20.683282000000002,,,7.862208,3.339017,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:37,irr,soil,chs_irr3,cc,0,-22,,,,,,,,,,,9.561289,0.0,6.630285,413.2469,,0.0,0.0,,,,,8.520644283333333,8.405013133333332,8.593435883333333,8.483718866666667,20.683214833333334,,,7.8567515,3.3049105,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:38,irr,soil,chs_irr3,cc,0,-21,,,,,,,,,,,9.552711,0.0,6.630285,413.0832,94.01364,0.0,0.0,,,,,8.520466966666666,8.404906866666666,8.591042366666667,8.480236133333333,20.683147666666667,,,7.851295,3.270804,,,0,,,,,,0.017671458676442587,3,,
2022-01-12 00:09:39,irr,soil,chs_irr3,cc,0,-20,,,,,,,,,,,9.587997999999999,0.0,6.6234635,413.3015,,0.0,0.0,,,,,8.520289649999999,8.4048006,8.58864885,8.4767534,20.6830805,,,7.8622085,3.3066155,,,0,,,,,,0.017671458676442587,3,,
